,0,Mfccs0,Mfccs1,Mfccs10,Mfccs11,Mfccs12,Mfccs13,Mfccs14,Mfccs15,Mfccs16,Mfccs17,Mfccs18,Mfccs19,Mfccs2,Mfccs3,Mfccs4,Mfccs5,Mfccs6,Mfccs7,Mfccs8,Mfccs9,Name,chroma,isTrigger,spectralBandwidth,spectralCentroid,spectralRolloff,spectralRolloffMin,spectralZeroCrossing
7,-367.6112976074219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,82.91639709472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-3.899336576461792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-3.536195755004883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-18.483165740966797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.152888298034668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-26.396026611328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.573269248008728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-21.313322067260742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.362680912017822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-21.08652114868164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.138216972351074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-19.333477020263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4.735631465911865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-18.045713424682617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.569619655609131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-16.105613708496094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4.836864948272705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-7.723109245300293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.8520619869232178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5226379632949829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,825.2779795357937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,599.7697235338483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2138.916015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
